Sensor_ID;Name;Status
72;Flinders St- ACMI;A
13;Flagstaff Station;R
63;231 Bourke St;A
60;Flinders La - Swanston St (West) Temporary;R
18;Collins Place (North);A
7;Birrarung Marr;A
6;Flinders Street Station Underpass;A
5;Princes Bridge;A
14;Sandridge Bridge;R
71;Westwood Place;A
76;Macaulay Rd- Bellair St;A
73;Bourke St - Spencer St (South);A
84;Elizabeth St - Flinders St (East) - New footpath;A
30;Lonsdale St (South);A
20;Chinatown-Lt Bourke St (South);A
11;Waterfront City;A
29;St Kilda Rd-Alexandra Gardens;A
39;Alfred Place;A
65;Swanston St - City Square;A
23;Spencer St-Collins St (South);A
16;Australia on Collins;R
15;State Library;R
50;Faraday St-Lygon St (West);A
46;Pelham St (South);A
1;Bourke Street Mall (North);A
85;Macaulay Rd (North);A
41;Flinders La-Swanston St (West);A
52;Elizabeth St-Lonsdale St (South);A
43;Monash Rd-Swanston St (West);A
38;Flinders St-Swanston St (West);R
44;Tin Alley-Swanston St (West);A
48;QVM-Queen St (East);A
57;Bourke St Bridge;A
10;Victoria Point;A
54;Lincoln-Swanston (West);A
35;Southbank;A
55;Elizabeth St-La Trobe St (East);A
28;The Arts Centre;A
2;Bourke Street Mall (South);A
56;Lonsdale St - Elizabeth St (North);A
61;RMIT Building 14;A
66;State Library - New;A
36;Queen St (West);A
49;QVM-Therry St (South);A
79;Flinders St (South);A
19;Chinatown-Swanston St (North);A
33;Flinders St-Spring St (West);R
80;Boyd Commuinty - Rear door;A
34;Flinders St-Spark La;R
12;New Quay;A
32;City Square;R
53;Collins Street (North);A
78;Harbour Esplanade (West) - Bike Path;A
69;Flinders Ln -Degraves St (Crossing);A
3;Melbourne Central;A
42;Grattan St-Swanston St (West);A
31;Lygon St (West);A
77;Harbour Esplanade (West) - Pedestrian path;A
40;Lonsdale St-Spring St (West);A
83;Pop-up Lib Elizabeth St Right entry;A
22;Flinders St-Elizabeth St (East);R
27;QV Market-Peel St;A
47;Melbourne Central-Elizabeth St (East);A
21;Bourke St-Russell St (West);A
25;Melbourne Convention Exhibition Centre;R
4;Town Hall (West);A
75;Spring St- Flinders st (West);A
82;Pop-up Lib Elizabeth St Left entry;A
58;Bourke St - Spencer St (North);A
62;La Trobe St (North);A
37;Lygon St (East);A
81;Boyd Commuinty - Front door;A
45;Little Collins St-Swanston St (East);A
67;Flinders Ln -Degraves St (South);A
9;Southern Cross Station;A
64;Royal Pde - Grattan St;A
70;Errol Street (East);A
86;Queensberry St - Errol St (South);A
59;Building 80 RMIT;A
8;Webb Bridge;A
51;QVM-Franklin St (North);A
68;Flinders Ln -Degraves St (North);A
24;Spencer St-Collins St (North);A
26;QV Market-Elizabeth St (West);A
17;Collins Place (South);A
